Names R,Names Stata,Label
date,date,date: Start Date
date_end,date_end,date_end: End Date
statut_reponse,statut_reponse,statut_reponse: Response Type
progress,progress,progress: Progress
time,time,time: Duration (in seconds)
terminated,terminated,terminated: Finished
date_recored,date_recored,date_recored: Recorded Date
distr,distr,distr: Distribution Channel
lang,lang,lang: User Language
consent,consent,"consent: This is a survey conducted for academic research purposes by researchers from Harvard University and the OECD. It will take approximately 25 minutes to complete. The survey data is used for research purposes only, and the research is non-partisan. You will be compensated for this survey if you complete the survey and your responses pass our survey quality checks. These checks use statistical control methods to detect incoherent and rushed responses. It is very important for the validity of our research that you answer honestly and read the questions carefully before answering.

 
The survey collects personal data, including socio-demographic characteristics and political views. All of the answers you provide will remain anonymous and be treated with absolute confidentiality. The personal data we collect will be transferred and stored on secure servers. Only researchers working on the project will have access to the anonymized data. Your participation in this survey is completely voluntary. You are entitled to choose not to take part. If at first you agree to take part, you can later change your mind. Your decision will not be held against you in any way. Your refusal to participate will not result in any consequences or any loss of benefits that you are otherwise entitled to receive. You can ask any questions before you decide whether to participate.  

 

If you have questions, concerns, or complaints, or think the research has offended you, you can contact the research team at social.economics.research2020@gmail.com or call the Harvard University Area Institutional Review Board (“IRB”) at (617) 496-2847. The OECD is committed to protecting the personal data it processes, in accordance with its Personal Data Protection Rules (https://www.oecd.org/general/data-protection.htm). If you have further queries or complaints related to the processing of your personal data, please contact the Data Protection Officer (DPO@oecd.org). If you need further assistance in resolving claims related to personal data protection you can contact the Data Protection Commissioner (DPC@oecd.org).


 
Do you agree to participate in the survey?"
gender,gender,gender: What is your gender?
age,age,age: How old are you?
zipcode,zipcode,zipcode: What is your ZIP code?
urbanity,urbanity,
couple,couple,
marital_status,marital_status,marital_status: What is your marital status?
HH_size,hh_size,
education,education,
employment_status,employment_status,
polluting_sector_active,polluting_sector_active,"polluting_sector_active: If you work in any of the following industries, please select one describing your industry best"
polluting_sector_inactive,polluting_sector_inactive,"polluting_sector_inactive: If in your last job you worked in any of the following industries, please select one describing your industry best."
sector_active,sector_active,sector_active: What is the main activity of the company or organization where you work?
sector_inactive,sector_inactive,sector_inactive: What was the main activity of the company or organization at which you last worked?
income,income,
hit_by_covid,hit_by_covid,
home_tenant,home_tenant,home_tenant: Are you a homeowner or a tenant? (Multiple answers are possible) - Tenant
home_owner,home_owner,home_owner: Are you a homeowner or a tenant? (Multiple answers are possible) - Owner
home_landlord,home_landlord,home_landlord: Are you a homeowner or a tenant? (Multiple answers are possible) - Landlord renting out property
home_hosted,home_hosted,home_hosted: Are you a homeowner or a tenant? (Multiple answers are possible) - Hosted free of charge
wealth,wealth,
interested_politics,interested_politics,
member_environmental_orga,member_environmental_orga,
relative_environmentalist,relative_environmentalist,
left_right,left_right,
gas_expenses,gas_expenses,
flights_3y,flights_3y,
frequency_beef,frequency_beef,
transport_work,transport_work,transport_work: Which mode of transport did you mainly use for each of the following trips in 2019? - Commute to work or place of study
transport_shopping,transport_shopping,transport_shopping: Which mode of transport did you mainly use for each of the following trips in 2019? - Grocery shopping
transport_leisure,transport_leisure,transport_leisure: Which mode of transport did you mainly use for each of the following trips in 2019? - Recreational and leisure activities  (excluding holiday travel)
availability_transport,availability_transport,
Q3.7_First,q3_7_first,Q3.7_First: Timing - First Click
Q3.7_Last,q3_7_last,Q3.7_Last: Timing - Last Click
duration_energy,duration_energy,duration_energy: Timing - Page Submit
Q3.7_Click,q3_7_click,Q3.7_Click: Timing - Click Count
Q5.1_First,q5_1_first,Q5.1_First: Timing - First Click
Q5.1_Last,q5_1_last,Q5.1_Last: Timing - Last Click
duration_CC_field,duration_cc_field,duration_CC_field: Timing - Page Submit
Q5.1_Click,q5_1_click,Q5.1_Click: Timing - Click Count
CC_field,cc_field,"CC_field: When thinking about climate change, what are your main considerations? What should the [country] government do regarding climate change?


Please write as much as you would like, your response will be very useful."
Q140_First,q140_first,Q140_First: Timing - First Click
Q140_Last,q140_last,Q140_Last: Timing - Last Click
duration_treatment_climate,duration_treatment_climate,duration_treatment_climate: Timing - Page Submit
Q140_Click,q140_click,Q140_Click: Timing - Click Count
watched_climate,watched_climate,watched_climate: Were you able to watch and listen to the video until the end?
know_temperature_2100,know_temperature_2100,"know_temperature_2100: From what was said in the video, if greenhouse gas emissions continue on their current trend, what will be the rise in global average temperature in 2100?"
know_local_damage,know_local_damage,"know_local_damage: From what was said in the video, which of the following is not an expected effect of climate change in Denmark?"
Q141_First,q141_first,Q141_First: Timing - First Click
Q141_Last,q141_last,Q141_Last: Timing - Last Click
duration_treatment_policy,duration_treatment_policy,duration_treatment_policy: Timing - Page Submit
Q141_Click,q141_click,Q141_Click: Timing - Click Count
watched_policy,watched_policy,watched_policy: Were you able to watch and listen to the video until the end?
know_ban,know_ban,know_ban: The video presented three climate policies. What was the first policy about?
know_investments_funding,know_investments_funding,"know_investments_funding: The green infrastructure
program described in the video would be financed by:"
CC_talks,cc_talks,
CC_real,cc_real,
CC_anthropogenic,cc_anthropogenic,
CC_problem,cc_problem,
CC_knowledgeable,cc_knowledgeable,
GHG_CO2,ghg_co2,"GHG_CO2: Greenhouse gases are gases that trap heat in the atmosphere and make the Earth warmer, causing climate change. In particular, the burning of fossil fuels and agricultural production emit greenhouse gases. 

Which of the following elements contribute to climate change? (Multiple answers are possible) - CO2"
GHG_H2,ghg_h2,"GHG_H2: Greenhouse gases are gases that trap heat in the atmosphere and make the Earth warmer, causing climate change. In particular, the burning of fossil fuels and agricultural production emit greenhouse gases. 

Which of the following elements contribute to climate change? (Multiple answers are possible) - Hydrogen"
GHG_methane,ghg_methane,"GHG_methane: Greenhouse gases are gases that trap heat in the atmosphere and make the Earth warmer, causing climate change. In particular, the burning of fossil fuels and agricultural production emit greenhouse gases. 

Which of the following elements contribute to climate change? (Multiple answers are possible) - Methane"
